Round,Date,Team 1,FT,HT,Team 2
?,(Sun) 21 Aug 2016 (W33),Coritiba PR (21),2-1,?,Santos SP (21)
?,(Sun) 21 Aug 2016 (W33),Figueirense (20),1-2,?,Cruzeiro MG (21)
?,(Tue) 23 Aug 2016 (W34),Corinthians SP (21),2-1,?,EC Vitória (21)
?,(Sat) 27 Aug 2016 (W34),Ponte Preta (22),2-0,?,Corinthians SP (22)
?,(Sun) 28 Aug 2016 (W34),Cruzeiro MG (22),2-0,?,Santa Cruz (22)
?,(Sun) 28 Aug 2016 (W34),Santos SP (22),0-1,?,Figueirense (21)
?,(Sun) 28 Aug 2016 (W34),Chapecoense (22),1-3,?,Flamengo RJ (22)
?,(Sun) 28 Aug 2016 (W34),Fluminense RJ (21),0-2,?,Palmeiras SP (22)
?,(Sun) 28 Aug 2016 (W34),Grêmio RS (21),1-1,?,Atlético MG (22)
?,(Sun) 28 Aug 2016 (W34),São Paulo FC (22),0-0,?,Coritiba PR (22)
?,(Sun) 28 Aug 2016 (W34),Sport Recife (22),1-1,?,Internacional Porto Alegre (22)
?,(Sun) 28 Aug 2016 (W34),EC Vitória (22),2-1,?,América MG (22)
?,(Tue) 30 Aug 2016 (W35),Atlético PR (22),1-0,?,Botafogo RJ (21)
?,(Sat) 3 Sep 2016 (W35),Fluminense RJ (22),3-2,?,Figueirense (22)
?,(Sun) 4 Sep 2016 (W35),Botafogo RJ (22),2-1,?,Grêmio RS (22)
?,(Wed) 7 Sep 2016 (W36),Botafogo RJ (23),1-0,?,Fluminense RJ (23)
?,(Wed) 7 Sep 2016 (W36),Figueirense (23),1-0,?,Atlético PR (23)
?,(Wed) 7 Sep 2016 (W36),Santa Cruz (23),2-2,?,Chapecoense (23)
?,(Wed) 7 Sep 2016 (W36),Atlético MG (23),2-1,?,EC Vitória (23)
?,(Thu) 8 Sep 2016 (W36),Coritiba PR (23),4-0,?,Grêmio RS (23)
?,(Thu) 8 Sep 2016 (W36),Flamengo RJ (23),2-1,?,Ponte Preta (23)
?,(Thu) 8 Sep 2016 (W36),Palmeiras SP (23),2-1,?,São Paulo FC (23)
?,(Thu) 8 Sep 2016 (W36),Corinthians SP (23),3-0,?,Sport Recife (23)
?,(Fri) 9 Sep 2016 (W36),América MG (23),0-2,?,Cruzeiro MG (23)
?,(Fri) 9 Sep 2016 (W36),Internacional Porto Alegre (23),2-1,?,Santos SP (23)
?,(Sat) 10 Sep 2016 (W36),EC Vitória (24),1-2,?,Flamengo RJ (24)
?,(Sun) 11 Sep 2016 (W36),Chapecoense (24),1-0,?,Coritiba PR (24)
?,(Sun) 11 Sep 2016 (W36),São Paulo FC (24),3-1,?,Figueirense (24)
?,(Sun) 11 Sep 2016 (W36),Atlético PR (24),2-1,?,Internacional Porto Alegre (24)
?,(Sun) 11 Sep 2016 (W36),Cruzeiro MG (24),0-2,?,Botafogo RJ (24)
?,(Sun) 11 Sep 2016 (W36),Santos SP (24),2-1,?,Corinthians SP (24)
?,(Sun) 11 Sep 2016 (W36),Sport Recife (24),5-3,?,Santa Cruz (24)
?,(Sun) 11 Sep 2016 (W36),Grêmio RS (24),0-0,?,Palmeiras SP (24)
?,(Sun) 11 Sep 2016 (W36),Ponte Preta (24),1-1,?,América MG (24)
?,(Tue) 13 Sep 2016 (W37),Fluminense RJ (24),4-2,?,Atlético MG (24)
?,(Wed) 14 Sep 2016 (W37),Botafogo RJ (25),0-1,?,Santos SP (25)
?,(Wed) 14 Sep 2016 (W37),Figueirense (25),2-2,?,América MG (25)
?,(Thu) 15 Sep 2016 (W37),Ponte Preta (25),3-0,?,Grêmio RS (25)
